path,task,method,seed,protocol_tag,git_commit,config_hash,train_manifest_hash,val_manifest_hash,test_manifest_hash,run_dir
results/rebuttal/4090_strictv3/cifar_fixed/cifar10_ce_kl_s0.json,,ce_kl,0,strictv3_train_holdout_val_official_test_no_hidden_val,be75f6f1e9a68411e9014c665ba0201e830c70ee,675b1cdf7a5ee5d35e5d94efa6e36c6d2b3b048f291da68f8c7b3d04a2a0dacc,84264ec230d08f1f952311ffbaf30bf1c9f282f99aca99f87dc4a110dd313e70,6ec336242c3891a8d3995b4abbe95160d5c44877ba8e475cde36fcf467b06545,1df4de356124b00f436f867c540f921c5cffb95f1f5969519f100822181ef9f2,results/rebuttal/4090_strictv3/cifar_fixed/runs/cifar10_ce_kl_s0_strictv3_train_holdout_val_official_test_no_hidden_val_675b1cdf7a5e_be75f6f1_20260726T145649Z
results/rebuttal/4090_strictv3/cifar_fixed/cifar10_ce_kl_s1.json,,ce_kl,1,strictv3_train_holdout_val_official_test_no_hidden_val,be75f6f1e9a68411e9014c665ba0201e830c70ee,412945f2308f9f6e5a131f8e3872e7b0785c527c129837e1ff734a41bdcb9b80,d5a2d3bb972e1ed027a12eaa37c184ecc5445778bc4c16d8b059d2ade7e8ecbc,e490f2051bd33dd6f858889cf3a2f74e889bef03adf5137296e4a8841096966d,4a4e8bbcccbd8fe60ba2ca79555c87a3957f4e228941d7e71078d8411771b989,results/rebuttal/4090_strictv3/cifar_fixed/runs/cifar10_ce_kl_s1_strictv3_train_holdout_val_official_test_no_hidden_val_412945f2308f_be75f6f1_20260726T145338Z
results/rebuttal/4090_strictv3/cifar_fixed/cifar10_ce_kl_s2.json,,ce_kl,2,strictv3_train_holdout_val_official_test_no_hidden_val,be75f6f1e9a68411e9014c665ba0201e830c70ee,d929bbcb3135b5ab9a38472006b1261c6272c1b0027dffd7f0254f9ec57fa255,a617a8411c5b867bc3df630cb293d9d04715d17ee70d9590c40fa87e169890f8,e69849e3b9ec25dc862b7828915301f901483ab06d9c1bde8d1f813a44f8b142,4f2af67cecc197970467aaa4209568baeff794f17023361901ccfefe99e0b31c,results/rebuttal/4090_strictv3/cifar_fixed/runs/cifar10_ce_kl_s2_strictv3_train_holdout_val_official_test_no_hidden_val_d929bbcb3135_be75f6f1_20260726T145108Z
results/rebuttal/4090_strictv3/cifar_fixed/cifar10_fsconv_count_s0.json,,fsconv_count,0,strictv3_train_holdout_val_official_test_no_hidden_val,be75f6f1e9a68411e9014c665ba0201e830c70ee,fccaa5f611b16612e973cbcf4b3acd46ac4c6974fae065d60403209e61f654a2,84264ec230d08f1f952311ffbaf30bf1c9f282f99aca99f87dc4a110dd313e70,6ec336242c3891a8d3995b4abbe95160d5c44877ba8e475cde36fcf467b06545,1df4de356124b00f436f867c540f921c5cffb95f1f5969519f100822181ef9f2,results/rebuttal/4090_strictv3/cifar_fixed/runs/cifar10_fsconv_count_s0_strictv3_train_holdout_val_official_test_no_hidden_val_fccaa5f611b1_be75f6f1_20260726T145703Z
results/rebuttal/4090_strictv3/cifar_fixed/cifar10_fsconv_count_s1.json,,fsconv_count,1,strictv3_train_holdout_val_official_test_no_hidden_val,be75f6f1e9a68411e9014c665ba0201e830c70ee,393f9c2d0ae0c54b9dee21ff9b494c867ccb073cd4b081fff00cca93b6b57fd9,d5a2d3bb972e1ed027a12eaa37c184ecc5445778bc4c16d8b059d2ade7e8ecbc,e490f2051bd33dd6f858889cf3a2f74e889bef03adf5137296e4a8841096966d,4a4e8bbcccbd8fe60ba2ca79555c87a3957f4e228941d7e71078d8411771b989,results/rebuttal/4090_strictv3/cifar_fixed/runs/cifar10_fsconv_count_s1_strictv3_train_holdout_val_official_test_no_hidden_val_393f9c2d0ae0_be75f6f1_20260726T145409Z
results/rebuttal/4090_strictv3/cifar_fixed/cifar10_fsconv_count_s2.json,,fsconv_count,2,strictv3_train_holdout_val_official_test_no_hidden_val,be75f6f1e9a68411e9014c665ba0201e830c70ee,983eb14adecd2237a3183a84f5b397333fd4d9efc4f17e638f1184f87972ce97,a617a8411c5b867bc3df630cb293d9d04715d17ee70d9590c40fa87e169890f8,e69849e3b9ec25dc862b7828915301f901483ab06d9c1bde8d1f813a44f8b142,4f2af67cecc197970467aaa4209568baeff794f17023361901ccfefe99e0b31c,results/rebuttal/4090_strictv3/cifar_fixed/runs/cifar10_fsconv_count_s2_strictv3_train_holdout_val_official_test_no_hidden_val_983eb14adecd_be75f6f1_20260726T145207Z
results/rebuttal/4090_strictv3/cifar_fixed/cifar10_official_llp_pvc_s0.json,,official_llp_pvc,0,strictv3_train_holdout_val_official_test_no_hidden_val,be75f6f1e9a68411e9014c665ba0201e830c70ee,0e9ca3e757cc1a8136add7ce99715318e8efc5665ecadffe31ea1682d2a3834f,84264ec230d08f1f952311ffbaf30bf1c9f282f99aca99f87dc4a110dd313e70,6ec336242c3891a8d3995b4abbe95160d5c44877ba8e475cde36fcf467b06545,1df4de356124b00f436f867c540f921c5cffb95f1f5969519f100822181ef9f2,results/rebuttal/4090_strictv3/cifar_fixed/runs/cifar10_official_llp_pvc_s0_strictv3_train_holdout_val_official_test_no_hidden_val_0e9ca3e757cc_be75f6f1_20260726T145724Z
results/rebuttal/4090_strictv3/cifar_fixed/cifar10_official_llp_pvc_s1.json,,official_llp_pvc,1,strictv3_train_holdout_val_official_test_no_hidden_val,be75f6f1e9a68411e9014c665ba0201e830c70ee,6b95884b99e3fa2bc25bd0796ed7c590148a85f9e3ebc18bf2b6e4a3cc70ded9,d5a2d3bb972e1ed027a12eaa37c184ecc5445778bc4c16d8b059d2ade7e8ecbc,e490f2051bd33dd6f858889cf3a2f74e889bef03adf5137296e4a8841096966d,4a4e8bbcccbd8fe60ba2ca79555c87a3957f4e228941d7e71078d8411771b989,results/rebuttal/4090_strictv3/cifar_fixed/runs/cifar10_official_llp_pvc_s1_strictv3_train_holdout_val_official_test_no_hidden_val_6b95884b99e3_be75f6f1_20260726T145452Z
results/rebuttal/4090_strictv3/cifar_fixed/cifar10_official_llp_pvc_s2.json,,official_llp_pvc,2,strictv3_train_holdout_val_official_test_no_hidden_val,be75f6f1e9a68411e9014c665ba0201e830c70ee,c84214c39c6301e907c60b30db8d561146c4f7b0cf681b4eae75091f42fbee8d,a617a8411c5b867bc3df630cb293d9d04715d17ee70d9590c40fa87e169890f8,e69849e3b9ec25dc862b7828915301f901483ab06d9c1bde8d1f813a44f8b142,4f2af67cecc197970467aaa4209568baeff794f17023361901ccfefe99e0b31c,results/rebuttal/4090_strictv3/cifar_fixed/runs/cifar10_official_llp_pvc_s2_strictv3_train_holdout_val_official_test_no_hidden_val_c84214c39c63_be75f6f1_20260726T145314Z
results/rebuttal/4090_strictv3/cifar_fixed/manifests/seed0_n64_train250_strictv3_train_holdout_val_official_test_no_hidden_val/test_manifest.json,,,,,,,,,,
